Title,Description,Job Types,City,Country,Working Location,Budget,Budget_per,Content Verticals,Required Skills,Required Softwares,Required Platforms,Creative Styles,reference_links
Lexi Rivera,"<p>About Us:</p>
<p>&bull; Lexi Rivera is a content creator with over 50 million followers across all social media platforms and over 15 million subscribers on YouTube.</p>
<p>&bull; We are averaging millions of views per long form and short form video.</p>
<p>&nbsp;</p>
<p>About You:</p>
<p>&bull; The ideal candidate is someone who has experience working with YouTube content at a high level for both short and long form content.</p>
<p>&bull; You are someone who is genuinely interested about YouTube and are passionate about the production of video content.</p>
<p>&nbsp;</p>
<p>What makes you a fit:</p>
<p>&bull; You should be a team player who is willing to get dirty and willing to run to get the best shot.</p>
<p>&bull; Experience filming with equipment ranging from DSLR cameras to GoPros.</p>
<p>&bull; You ideally have experience with lighting, cables, and wrap.</p>
<p>&bull; Willing to travel.</p>
<p>&nbsp;</p>
<p>Skills:</p>
<p>&bull; Great communication skills - written and verbal</p>
<p>&bull; Can work independently and are driven by results</p>
<p>&bull; Advanced understanding of the Adobe Suite (Premiere Pro, After Effects, Photoshop)</p>
<p>&bull; Scriptwriting and planning a YouTube video from start to finish</p>
<p>&bull; Experience filming fast paced IRL YouTube videos</p>
<p>&bull; Shooting Thumbnails</p>
<p>&nbsp;</p>
<p>Role:</p>
<p>&bull; You will be working as Content Producer for the Lexi Rivera YouTube channel.</p>
<p>&nbsp;</p>
<p>Your primary duties will include, but are not limited to:</p>
<p>&bull; Planning, developing and implementing the channel&rsquo;s content strategy.</p>
<p>&bull; Lead Camera Operator Determining and organizing the best approach for each project.</p>
<p>&bull; Ensuring that all production equipment is in good working condition and that all necessary materials are available.</p>
<p>&bull; Directing and overseeing all aspects of a production or project, from start to finish.</p>
<p>&bull; Track video views across all platforms ensuring MoM and YoY growth.</p>
<p>&bull; Traveling with Lexi and team on an as needed basis.</p>
<p>&bull; Planning and shooting thumbnails</p>
<p>&bull; Huge plus if you have Photoshop experience to assist with mockups.</p>
<p>&bull; Overseeing quality control revisions on videos to ensure every video matches the channel&rsquo;s level of quality while in post production.</p>
<p>&nbsp;</p>
<p>Required:</p>
<p>&bull; This role is local to Huntington Beach, CA</p>
<p>&bull; You will be expected to be in person</p>
<p>&bull; Experience and skill using Adobe creative suite (Premiere/After Effects/Photoshop)</p>
<p>&bull; 1+ years of experience working with high performing short form content and long form content</p>
<p>&bull; English fluency</p>
<p>&bull; Must be 18+ years old</p>",Producer,Huntington Beach,United States,in-person,5700,project,Entertainment,"Audience Retention, CTR Optimization, Filming, Growth & Strategy, Rough Cut & Sequencing, Storyboarding, Thumbnail Design, Writing","Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro","Instagram, Snapchat, TikTok, YouTube","Energetic, Family Friendly, Fast-Paced, Funny","https://www.youtube.com/watch?v=bHuQ6dAHXZU, https://www.youtube.com/watch?v=mOGdNx6PB_o, https://www.youtube.com/watch?v=QxRM0_RXOBw"
Nick DiGiovanni,"<p>Pesto Studios, the production company behind chef and social media megastar Nick DiGiovanni, is looking to hire a full-time Social Media Editor for Nick&rsquo;s social media channels.</p>
<p>&nbsp;</p>
<p>This role will handle vertical content for Nick&rsquo;s Instagram, TikTok and YouTube accounts.</p>
<p>&nbsp;</p>
<p>Location:</p>
<p>This role is fully remote, but there's a possibility for hybrid work if the candidate is located in the Boston area.</p>
<p>&nbsp;</p>
<p>Who we&rsquo;re looking for:</p>
<p>&bull; We are looking for an experienced, creative and resourceful Social Media Editor to handle all post-production for Nick DiGiovanni&rsquo;s short-form social media content (30 to 60 seconds).</p>
<p>&bull; Your primary responsibility will be to create engaging viral videos from raw footage based on provided concepts, scripts and brand guidelines.</p>
<p>&bull; You have a strong understanding of editing techniques, video production (especially post-production) and industry terminology. You follow social media trends and love all things pop culture.</p>
<p>&bull; Bonus - you have a passion for food and working in the food space!</p>
<p>&nbsp;</p>
<p>Who you&rsquo;ll work with:</p>
<p>&bull; As a Social Media Editor, you will directly support Nick DiGiovanni and work closely with his team, including his entire digital team (videographers, editors, producers etc), external team (talent agent, PR team etc) and other stakeholders involved in our videos.</p>
<p>&bull; You may also work with various other lighting, set design and camera crews.</p>
<p>&nbsp;</p>
<p>What you&rsquo;ll bring to the team:</p>
<p>&bull; 3+ years of experience in video editing for social media (Instagram, TikTok, YouTube or other relevant platforms)</p>
<p>&bull; Expertise with Adobe Premiere, After Effects and Photoshop</p>
<p>&bull; Deep understanding of the mechanics behind viral short-form content (hooks, retention, storytelling, pacing etc)</p>
<p>&bull; Passion for pop culture and knowledge of the latest social media trends (particularly on vertical platforms)</p>
<p>&bull; Top-notch organizational skills and a strong ability to multitask</p>
<p>&bull; Ability to work in a collaborative, fast-paced environment and bring new creative ideas to the table</p>
<p>&bull; Bonus: Bachelor&rsquo;s degree with a concentration in fields related to film studies or video production</p>",Video Editor,New York,United States,remote,75000,year,Food & Cooking,"Audience Retention, Color Grading, Rough Cut & Sequencing","Adobe After Effects, Adobe Photoshop, Adobe Premiere Pro","Instagram, TikTok, YouTube","Energetic, Family Friendly, Fast-Paced, Funny, Happy, High Production","https://www.youtube.com/shorts/05fXKmScpP0, https://www.youtube.com/shorts/NmA7pg--3Jc, https://www.youtube.com/shorts/zokq8tqCd8o, https://youtube.com/shorts/L5kIXRdwGAI?si=eBdYdKJx9nM0rTFQ"
Julius Dein,"Are you an EXPERT video editor and PASSIONATE about social media?! If so, what are you waiting for? Join the team of one of the biggest social media creators on the internet!🌏

Youtube Video Editors for the JD Studios team edit videos for our social media network of over 70 million followers and are responsible for turning raw clips into content that can go VIRAL!

Does the following describe you?
You live and breathe social media and can easily spend hours watching videos online.
You are up to date and have an eye for viral content, creators, and what's popping.
You're top of your game when editing video content, and a dab hand with Premier Pro.
You are eager to learn and want to be a part of a top social media team.
You have an impeccable work ethic, a passion for social content, and a sense of humour.
You will be guided by some of the biggest internet creators on the planet, producing trending content with a quick turnaround. If you are looking for a job where you can express your creativity through video editing, this job is for you.

You are definitely a match if you...
Are fluent in English, with impeccable grammar and punctuation skills.
Have enthusiasm for video editing and social media content.
Previous experience working with social media content.
Have excellent video editing skills using software such as Adobe Premiere Pro.
Have a thorough understanding of the different social media platforms.
Understand storytelling on social media, and what makes an engaging, shareable story.
Have experience working to strict deadlines and targets.
If this sounds like you then what are you waiting for!?

Desirables, but not required:
Able to design attractive thumbnails, graphics, and decks.
Experience with Adobe Photoshop.

Where is the job? 

This role is fully remote, with the option to occasionally join on content trips. 

IMPORTANT!

Do not apply for this job unless you are PASSIONATE about social media content, a MASTER of video/social media editing, and speak English at a B2 level or above.

We have a HIGHLY COMPETITIVE application process looking for the best social editors worldwide who can seamlessly use their editing software to create viral content, so only apply if you fit all of these criteria!",Video Editor,NULL,NULL,NULL,3500,month,"Challenges, Comedy, Entertainment, IRL, Lifestyle & Vlogs, Travel","Audience Retention, Color Grading, Filming, Podcast & Audio Recording",Slack,"Facebook, Instagram, Snapchat, TikTok, YouTube","Energetic, Fast-Paced, Funny, High Production","https://www.youtube.com/shorts/I062kjOI_O8, https://www.youtube.com/watch?v=ny5pAY7quFQ&t=124s&ab_channel=JuliusDeinVlogs"
Nick DiGiovanni,"<p>Pesto Studios, the production company behind chef and social media megastar Nick DiGiovanni, is looking to hire a part-time Thumbnail Designer for Nick&rsquo;s YouTube channels.</p>
<p>&nbsp;</p>
<p>Location:</p>
<p>&bull; This role is fully remote.</p>
<p>&nbsp;</p>
<p>Who we&rsquo;re looking for:</p>
<p>&bull; We are looking for an experienced, creative and resourceful Thumbnail Designer to conceptualize and design thumbnails for Nick DiGiovanni&rsquo;s YouTube channels.</p>
<p>&bull; Your primary responsibility will be to create engaging thumbnails based on raw assets, video concepts and brand guidelines.</p>
<p>&bull; You have a strong understanding of graphic design, photo editing, composition and color theory.</p>
<p>&bull; You follow YouTube trends and love all things related to the creator space.</p>
<p>&bull; Bonus - you have a passion for food and working in the food space!</p>
<p>&nbsp;</p>
<p>Who you&rsquo;ll work with:</p>
<p>&bull; As a Thumbnail Designer, you will directly support Nick DiGiovanni and work closely with his team, including his entire digital team (videographers, editors, producers etc) and other stakeholders involved in our videos.</p>
<p>&nbsp;</p>
<p>What you&rsquo;ll bring to the team:</p>
<p>&bull; 2+ years of experience in graphic design, ideally focused on creating YouTube thumbnails</p>
<p>&bull; Expertise with Photoshop and other relevant design softwares - Deep understanding of what makes thumbnails visually appealing and viral (composition, framing, colors, storytelling etc)</p>
<p>&bull; Passion for YouTube and knowledge of the latest YouTube trends</p>
<p>&bull; Top-notch organizational skills and a strong ability to multitask</p>
<p>&bull; Ability to work in a collaborative, fast-paced environment and bring new creative ideas to the table</p>",Thumbnail Designer,New York,United States,remote,5000,month,Food & Cooking,"CTR Optimization, Graphic Design",Adobe Photoshop,YouTube,"Elegant, Energetic, Happy","https://youtu.be/KOEfDvr4DcQ?si=h29Z_sOWVC-EA_rT, https://youtu.be/LL5pu9GzziA?si=SENTnrI76wCNJeTk, https://youtu.be/mCcNv8vTE-I?si=M9MyMZ9a5h8D9J1m"
Healthy Holistic Homes,"<p>We're looking for an experienced talking head writer who's interested in our topic &amp; message.&nbsp;</p>
<p>&nbsp;</p>
<p>Healthy Holistic Homes is all about what goes into creating a healthy living environment and how to create one. So it's about non-toxic living, family, relationships &amp; biohacking.&nbsp;</p>
<p>&nbsp;</p>
<p>Mostly focused on health &amp; wellness.&nbsp;</p>
<p>&nbsp;</p>
<p>We do dabble in esoterics and more fringe things that often go against the grain for the mainstream approaches but everything we talk about is well researched and there is legitimate science backing it.&nbsp;</p>
<p>&nbsp;</p>
<p>We finally want to start pouring more love into our small channel, however consistent scriptwriting has been our biggest hurdle so far.</p>",Scriptwriter,NULL,NULL,NULL,800,month,Education,"Audience Retention, Growth & Strategy, Rough Cut & Sequencing, Writing","Airtable, Davinci Resolve, Figma, Frame.io, G-suite, Slack","Instagram, TikTok, YouTube","Aesthetic, Cinematic, Helpful, Talking Head","https://www.youtube.com/watch?v=5Rqiba5mqLk, https://www.youtube.com/watch?v=mPjazR91EzY, https://www.youtube.com/watch?v=poM36AmV2nU, https://www.youtube.com/watch?v=USmu0scNcSs, https://youtu.be/4CjyBr9qNqM?si=M2cfjbjbVBF7fguX"
Law By Mike,"<p>Law By Mike recently hit over 4M Subscribers on YouTube and we are looking to add talent to our team.&nbsp;</p>
<p>We are looking for a scriptwriter for long form content that deeply understands the youtube algortihm and retention techniques.&nbsp; If you nerd out on that stuff, then you're the perfect.&nbsp;</p>
<p>We also want a scriptwriter that is intentional with the words they use in every sentence, knowing that those words will need to match up with visual cues/b-roll, and that writes in a way that always moves the story forward.</p>
<p>If that sounds like you, then please apply! I've included&nbsp; examples of videos that have scriptwriting we like in the reference links!&nbsp;</p>",Scriptwriter,NULL,NULL,NULL,4000,month,"Challenges, Comedy, Education, IRL","Audience Retention, Growth & Strategy, Writing",NULL,"TikTok, YouTube","Eccentric, Energetic, Funny, Helpful, High Production, Quirky","https://youtu.be/FZ8mjdFWF1g?si=FdWIgpJL9ks-OOC3, https://youtu.be/gybXU1W8ZPc?si=BESu0rgy-StwMWmb, https://youtu.be/lxn9Tuo6UUk, https://youtu.be/ne7qrAow5TI"
Law By Mike,"<p>Law By Mike recently hit over 4M Subscribers on YouTube and we are looking to add talent to our team.&nbsp; If your time is limited we can also discuss project by project.&nbsp;</p>
<p>We are looking for a top-tier editor for long form content that deeply understands the youtube algortihm and retention techniques. &nbsp;If you nerd out on that stuff, then you're the perfect.&nbsp;</p>
<p>We would also like an editor that understands pacing, is skilled at selecting music tracks for long form videos, can source b-roll, and can do motion graphics.&nbsp; Basicaly, we are looking for a top-tier editor that can make our videos amazing!</p>
<p>If that sounds like you, then please apply! I've included &nbsp;examples of videos that have editing we like in the reference links!&nbsp;</p>",Video Editor,NULL,NULL,NULL,4000,month,"Challenges, Education, Entertainment","2D Animation, 3D Animation, Audience Retention, Color Grading, Graphic Design, Illustration, Music Editing, Sound Designing, Sourcing Stock Footage","Adobe After Effects, Adobe Premiere Pro",YouTube,"Aesthetic, Energetic, Fast-Paced, Funny, High Production","https://www.youtube.com/watch?v=syCmXKNxvwg, https://youtu.be/lxn9Tuo6UUk"
Mitchell Summers,"<p>Hello! We are Summers Media! We are searching for our dream team and you can join us for an exciting opportunity! We're on the lookout for a dynamic Scriptwriter to collaborate on a full-time basis. If you're passionate about storytelling, adept at simplifying complex concepts, and aspire to make a global impact, this role is tailor-made for you.&nbsp;</p>
<p><br>Here's what you'll be doing:&nbsp;</p>
<p><br>&bull; Crafting captivating scripts for video content that resonate with diverse audiences, but primarily American Gen Z!&nbsp;</p>
<p><br>&bull; Collaborating closely with our creative team to effectively convey the project's vision.&nbsp;</p>
<p><br>&bull; Conducting thorough research on various topics and writing social media scripts that are around 600 words long.&nbsp;</p>
<p><br>If this sounds like you, here's what you need:&nbsp;</p>
<p><br>&bull; Strong proficiency in English, with outstanding verbal and written communication skills.&nbsp;</p>
<p><br>&bull; Exceptional writing and research abilities, capable of adapting to our style seamlessly.&nbsp;</p>
<p><br>&bull; Clarity, honesty and simplicity in communication is key when it comes to our content.</p>
<p><br>&bull; Capability to work both independently and as part of a team to meet deadlines.&nbsp;</p>
<p><br>&bull; Excellent organizational and multitasking skills.&nbsp;</p>
<p><br>&bull; Experience in Social Media or Content Marketing is highly advantageous.&nbsp;</p>
<p><br>&bull; Impeccable grammar, spelling, and proofreading skills.&nbsp;</p>
<p><br>&bull; Creative thinking and the ability to generate ideas for creative briefs.&nbsp;</p>
<p><br>Why join us?&nbsp;</p>
<p><br>&bull; We're far from boring and offer a fast-paced and enjoyable environment.&nbsp;</p>
<p><br>&bull; Your opinions matter, and we encourage boundary-pushing when it comes to creativity.&nbsp;</p>
<p><br>&bull; We offer ample growth opportunities and we aspire to create content that can make a positive difference in the world.</p>",Scriptwriter,NULL,Philippines,NULL,1000,month,"Entertainment, True Crime","Audience Retention, Writing",NULL,"Facebook, Snapchat, TikTok, YouTube",Cinematic,"https://www.facebook.com/mitchsummers, https://www.youtube.com/channel/UCi2qHfRMVEI_yHH90gZBevQ"
Mitchell Summers,"<p>Looking for a place that will ignite your passion for video editing? Summers Media is a company that has over 1 million followers on Facebook a couple of Snapchat shows with millions of views, and we're on the hunt for a skilled Video Editor to join our dynamic team for a full-time position. If you have a knack for storytelling through visuals, an eye for detail, and a desire to make a global impact, this role could be your perfect fit.</p>
<p><br>Here's what you'll be doing:</p>
<p><br>&bull; Editing compelling video content that captivates diverse audiences that are around 3 minutes long.&nbsp;</p>
<p><br>&bull; Transforming raw footage into polished, engaging videos that align with the project's vision.</p>
<p><br>&bull; Collaborating closely with our creative team to ensure seamless integration of visuals and narrative.</p>
<p><br>&bull; Staying up-to-date with industry trends and techniques to continually elevate our video content.</p>
<p><br>If this sounds like you, here's what you need:</p>
<p><br>&bull; Proficiency in video editing software (preferably Final Cut Pro).</p>
<p><br>&bull; Strong attention to detail and a keen eye for visual storytelling.</p>
<p><br>&bull; Ability to work both independently and collaboratively in a fast-paced environment.</p>
<p><br>&bull; Excellent organizational and time management skills to meet project deadlines.</p>
<p><br>&bull; Experience with color correction and audio editing is advantageous.</p>
<p><br>&bull; Knowledge of motion graphics and animation is a plus.</p>
<p><br>&bull; A creative mindset with the ability to think outside the box.</p>
<p><br>Why join us?</p>
<p><br>&bull; We offer a vibrant working environment.</p>
<p><br>&bull; Enjoy the excitement of working on diverse and impactful projects.</p>
<p><br>&bull; Your creative input is valued, and you'll have the opportunity to shape the visual narrative.</p>
<p><br>&bull; We provide growth opportunities and the chance to advance your career in video editing!</p>",Video Editor,NULL,NULL,NULL,1000,month,"Entertainment, Finance & Business, True Crime","2D Animation, 3D Animation, Audience Retention, Sound Designing","Adobe Premiere Pro, Final Cut Pro","Facebook, Snapchat, TikTok, YouTube",Cinematic,"https://www.facebook.com/watch/?v=1088928505051503, https://www.facebook.com/watch/?v=250956330861143, https://www.youtube.com/channel/UCi2qHfRMVEI_yHH90gZBevQ, https://www.youtube.com/watch?v=F6PqxbvOCUI, https://www.youtube.com/watch?v=klA4S3YZAW8"
Jordan Matter,"<p>Full time editor, experienced with complex multi-camera YouTube edits.</p>
<p>&nbsp;</p>
<p>Ideal candidate:</p>
<p><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">- Experience editing for a high-level creator in our genre</span></p>
<p><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">- Likes our content: YouTube challenges, trends, family/vlog channel</span></p>
<p><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">- Understands our demographic: young, female</span></p>
<p><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">- Located in Los Angeles, CA - preferred but not required. We would consider helping someone relocate within the US in the long term.</span></p>
<p><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">- Adobe Premiere editing and fast internet required</span></p>
<p>&nbsp;</p>
<p>We are a successful and growing YouTube channel based in Los Angeles. We focus on family-friendly content like challenges, trends - building secret rooms, one color shopping, $1 vs $1,000, hide and seek, 24 hour challenges.&nbsp; Our edits are long and complex, and require a professional, experienced editor.<br><br></p>
<p>You will be part of a team of several editors working to make each video. We appreciate experience with retention devices, trends, quick cuts, good music sense, and a sense of humor appropriate for kids and teens.&nbsp;</p>
<p>&nbsp;</p>
<p>We also post Shorts, IG Reels, Snap, and TikToks, so experience with vertical/short form is helpful.&nbsp;</p>
<p>&nbsp;</p>
<p>Please include a sample of your editing work and why you're interested in working with us.&nbsp;</p>
<p>&nbsp;</p>
<p>Salary is variable depending on experience, with room to grow with us.</p>
<p>&nbsp;</p>
<p>Thank you!</p>",Video Editor,Los Angeles,United States,hybrid,7000,month,"Challenges, Kids & Family, Lifestyle & Vlogs","Audience Retention, Rough Cut & Sequencing",Adobe Premiere Pro,YouTube,"Energetic, Family Friendly, Fast-Paced, Funny, High Production","https://youtu.be/-5bcG6tZKx8?si=x6pPeoR8cy4RBjTG, https://youtu.be/jDvXWUpo9Kg?si=Om3lU63DRj576OYc, https://youtu.be/KOEfDvr4DcQ?si=X7lQba--bhc0ttZn, https://youtu.be/LIyprdaNUTE, https://youtu.be/SGvZJ1fulPQ, https://youtu.be/T6IuTOAYS8k"
